nom;y_lat;type_public;Timestamp;RowKey;x_long;num_quartier;PartitionKey;type_acces;payant;cle;operateur;situation;entityid;cp;geometrie;formation;geo_point_2d
Mirroir Eau Sud 1;44.8410140620273;Tous;2015-05-06T11:12:25.0007695Z;da749378-efd5-419b-b80a-4729a7e771e2;-0.569200241364265;3;c8092a01-413e-4a00-b1a1-30ded9b3a4ea;Wifi;NON;307;Ville;Externe;c8092a01-413e-4a00-b1a1-30ded9b3a4ea;33000;"{""type"": ""Point"", ""coordinates"": [-0.569200241364265, 44.8410140620273]}";non;44.841014062,-0.569200241364
Skate1;44.8535270165028;Tous;2015-05-06T11:12:21.6007267Z;08fcf496-d722-44fb-9448-6238a8d98092;-0.566277015297812;2;d29f91c8-1482-4e76-9660-0eb6c71aa31b;Wifi;NON;251;Ville;Externe;d29f91c8-1482-4e76-9660-0eb6c71aa31b;33000;"{""type"": ""Point"", ""coordinates"": [-0.566277015297812, 44.8535270165028]}";non;44.8535270165,-0.566277015298
Bibliothèque Bastide;44.8441809608696;Tous;2015-05-06T11:12:28.6901367Z;6ae2f7e7-e6bf-4eff-ac0a-6504665e07fb;-0.542122327198918;7;d4679fd5-bbb6-4859-bc83-053af06e63d4;Poste libre service;NON;336;Ville;Interne;d4679fd5-bbb6-4859-bc83-053af06e63d4;33000;"{""type"": ""Point"", ""coordinates"": [-0.542122327198918, 44.8441809608696]}";non;44.8441809609,-0.542122327199
Martinique;44.8524016896823;Tous;2015-05-06T11:12:26.4337668Z;b9f42c95-6fbf-406b-81c4-7839f76d0d01;-0.567433896865495;2;d5873a50-ca08-4620-9740-1a69d3993ee7;Wifi;NON;309;Ville;Externe;d5873a50-ca08-4620-9740-1a69d3993ee7;33000;"{""type"": ""Point"", ""coordinates"": [-0.567433896865495, 44.8524016896823]}";non;44.8524016897,-0.567433896865
Pey Berland HDV1;44.837711742468;Tous;2015-05-06T11:12:25.8124032Z;c0328006-9f61-47db-8726-7d58b0114f52;-0.578910265324865;3;ebcc0eb3-e9d5-48d6-9b05-1503533be7d6;Wifi;NON;319;Ville;Externe;ebcc0eb3-e9d5-48d6-9b05-1503533be7d6;33000;"{""type"": ""Point"", ""coordinates"": [-0.578910265324865, 44.837711742468]}";non;44.8377117425,-0.578910265325
MEC Parvis 1;44.8392620546689;Tous;2015-05-06T11:12:22.405315Z;e2f5c1f0-26cc-42a5-bf22-05819a3e1592;-0.567515736723729;3;f9dcf104-e188-42c2-b56a-b6df867f7ac8;Wifi;NON;264;Ville;Externe;f9dcf104-e188-42c2-b56a-b6df867f7ac8;33000;"{""type"": ""Point"", ""coordinates"": [-0.567515736723729, 44.8392620546689]}";non;44.8392620547,-0.567515736724
Place Camille Julian;44.8391103676243;Tous;2015-05-06T11:12:25.7854008Z;45e83303-0e27-4d86-8dcf-d974470438ca;-0.571903305826729;3;040d15c8-fe89-41d7-bb8a-601ac6fb6747;Wifi;NON;312;Ville;Externe;040d15c8-fe89-41d7-bb8a-601ac6fb6747;33000;"{""type"": ""Point"", ""coordinates"": [-0.571903305826729, 44.8391103676243]}";non;44.8391103676,-0.571903305827
MEC Toit;44.8387641391926;Tous;2015-05-06T11:12:21.9342186Z;3792dc74-2c09-4b52-9698-ba96aca6bca0;-0.567041126976586;3;0c135b39-7767-4cae-a885-762fc29221f1;Wifi;NON;262;Ville;Externe;0c135b39-7767-4cae-a885-762fc29221f1;33000;"{""type"": ""Point"", ""coordinates"": [-0.567041126976586, 44.8387641391926]}";non;44.8387641392,-0.567041126977
Alsace;44.838454308662;Tous;2015-05-06T11:12:19.7251023Z;5b5ed34c-5e3d-40cb-9352-3e5d43750edc;-0.569112670370342;3;10b10d41-3776-43f9-9965-74c0b2baf254;Wifi;NON;255;Ville;Externe;10b10d41-3776-43f9-9965-74c0b2baf254;33000;"{""type"": ""Point"", ""coordinates"": [-0.569112670370342, 44.838454308662]}";;44.8384543087,-0.56911267037
Bibliothèque Aubiers Est;44.8737831801318;Tous;2015-05-06T11:12:24.671553Z;8cda5ca2-0a1f-415b-bd8f-9c69226eca8e;-0.572855794265409;1;128186dc-0b5b-48c0-b74d-51340767efdb;Wifi;NON;292;Ville;Externe;128186dc-0b5b-48c0-b74d-51340767efdb;33000;"{""type"": ""Point"", ""coordinates"": [-0.572855794265409, 44.8737831801318]}";;44.8737831801,-0.572855794265
Chartron Marche;44.8520594063995;Tous;2015-05-06T11:12:28.5116931Z;377814b9-2615-4c0f-81ff-2de20783cf61;-0.572605659172594;2;2464fe5f-5202-42bb-8163-f5c21a2d54e6;Wifi;NON;961;Ville;Externe;2464fe5f-5202-42bb-8163-f5c21a2d54e6;33000;"{""type"": ""Point"", ""coordinates"": [-0.572605659172594, 44.8520594063995]}";;44.8520594064,-0.572605659173
11 Louis de Jabrun – Point info familles;44.8395591065173;Tous;2015-05-06T11:12:24.0891847Z;03d111c7-72c2-4383-a28d-2bac591fa9d0;-0.576620048679785;3;368610b5-5712-472a-a54b-ba0c068f0bc9;Poste libre service;NON;303;Ville;Interne;368610b5-5712-472a-a54b-ba0c068f0bc9;33000;"{""type"": ""Point"", ""coordinates"": [-0.576620048679785, 44.8395591065173]}";non;44.8395591065,-0.57662004868
Club Senior Billaudel;44.824042601314;Seniors;2015-05-06T11:12:26.9799302Z;bf85260e-8c57-4e1d-8993-bf5429c1e051;-0.564587482367892;6;5400b33e-63b2-40e5-a163-86d25cfc4c1c;Poste libre service;OUI;331;Ville;Interne;5400b33e-63b2-40e5-a163-86d25cfc4c1c;33000;"{""type"": ""Point"", ""coordinates"": [-0.564587482367892, 44.824042601314]}";oui;44.8240426013,-0.564587482368
Chartron Halle;44.8524145706;Tous;2015-05-06T11:12:29.6401562Z;f03b0806-c493-453e-b702-cd016debd0df;-0.572446978093307;2;6d1ebbd3-3769-429e-96e8-963f2a47b934;Wifi;NON;963;Ville;Externe;6d1ebbd3-3769-429e-96e8-963f2a47b934;33000;"{""type"": ""Point"", ""coordinates"": [-0.572446978093307, 44.8524145706]}";;44.8524145706,-0.572446978093
